image_id,truth
gifbrles_031769,0
gifbrles_031772,1
gifbrles_031773,1
gifbrles_031774,0
gifbrles_031775,1
gifbrles_031780,1
gifbrles_031781,1
gifbrles_031786,0
gifbrles_031787,1
gifbrles_031788,1
gifbrles_031789,1
gifbrles_031792,1
gifbrles_031793,1
gifbrles_031794,1
gifbrles_031795,1
gifbrles_031800,1
gifbrles_031801,0
gifbrles_031802,1
gifbrles_031804,1
gifbrles_031806,1
gifbrles_031807,1
gifbrles_031808,1
gifbrles_031809,1
gifbrles_031810,1
gifbrles_031811,1
gifbrles_031812,1
gifbrles_031813,1
gifbrles_031814,1
gifbrles_031816,1
gifbrles_031817,1
gifbrles_031818,1
gifbrles_031819,1
gifbrles_031820,1
gifbrles_031821,1
gifbrles_031822,1
gifbrles_031823,1
gifbrles_031824,1
gifbrles_031825,1
gifbrles_031826,1
gifbrles_031827,1
gifbrles_031828,1
gifbrles_031829,1
gifbrles_031831,1
gifbrles_031832,1
gifbrles_031833,1
gifbrles_031835,1
gifbrles_031837,1
gifbrles_031838,1
gifbrles_031840,1
gifbrles_031841,1
gifbrles_031842,1
gifbrles_031845,1
gifbrles_031846,1
gifbrles_031847,1
gifbrles_031848,1
gifbrles_031849,1
gifbrles_031850,1
gifbrles_031851,1
gifbrles_031853,1
gifbrles_031855,1
gifbrles_031856,1
gifbrles_031857,1
gifbrles_031859,1
gifbrles_031861,1
gifbrles_031862,1
gifbrles_031864,1
gifbrles_031865,1
gifbrles_031866,1
gifbrles_031869,1
gifbrles_031877,1
gifbrles_031879,1
gifbrles_031880,1
gifbrles_031882,1
gifbrles_031885,1
gifbrles_031886,1
gifbrles_031890,1
gifbrles_031891,1
gifbrles_031896,1
gifbrles_031897,1
gifbrles_031898,1
gifbrles_031899,0
gifbrles_031900,1
gifbrles_031901,1
gifbrles_031902,1
gifbrles_031903,1
gifbrles_031904,1
gifbrles_031905,1
gifbrles_031906,1
gifbrles_031907,1
gifbrles_031908,1
gifbrles_031910,1
gifbrles_031911,1
gifbrles_031913,1
gifbrles_031915,1
gifbrles_031916,1
gifbrles_031917,1
gifbrles_031918,1
gifbrles_031919,1
gifbrles_031920,1
gifbrles_031922,0
gifbrles_031923,1
gifbrles_031924,1
gifbrles_031926,1
gifbrles_031927,1
gifbrles_031928,1
gifbrles_031929,1
gifbrles_031931,1
gifbrles_031932,1
gifbrles_031933,1
gifbrles_031934,1
gifbrles_031936,1
gifbrles_031937,1
gifbrles_031938,1
gifbrles_031939,1
gifbrles_031940,1
gifbrles_031942,1
gifbrles_031943,1
gifbrles_031944,1
gifbrles_031945,1
gifbrles_031946,1
gifbrles_031947,1
gifbrles_031948,1
gifbrles_031949,1
gifbrles_031950,1
gifbrles_031952,1
gifbrles_031953,1
gifbrles_031959,1
gifbrles_031961,1
gifbrles_031963,1
gifbrles_031970,1
gifbrles_031973,1
gifbrles_031974,1
gifbrles_031975,1
gifbrles_031976,1
gifbrles_031977,1
gifbrles_031980,1
gifbrles_031981,1
gifbrles_031984,1
gifbrles_031985,1
gifbrles_031986,1
gifbrles_c0004s0029t01,0
gifbrles_c0004s0031t01,1
gifbrles_c0005s0003t01,0
gifbrles_c0005s0008t01,0
gifbrles_c0005s0009t01,0
gifbrles_c0005s0010t01,0
gifbrles_c0005s0012t01,0
gifbrles_c0005s0013t01,1
gifbrles_c0005s0017t01,1
gifbrles_c0005s0021t01,1
gifbrles_c0005s0024t01,0
gifbrles_c0005s0026t01,0
gifbrles_c0005s0027t01,0
gifbrles_c0005s0028t01,0
gifbrles_c0005s0030t01,1
gifbrles_c0005s0035t01,0
gifbrles_c0005s0036t01,1
gifbrles_c0005s0042t01,0
gifbrles_c0005s0048t01,0
gifbrles_c0006s0003t01,0
gifbrles_c0006s0004t01,0
gifbrles_c0006s0008t01,0
gifbrles_c0006s0014t01,0
gifbrles_c0006s0019t01,0
gifbrles_c0006s0020t01,0
gifbrles_c0007s0001t01,0
gifbrles_c0007s0005t01,0
gifbrles_c0007s0007t01,0
gifbrles_c0007s0009t01,0
gifbrles_c0007s0010t01,0
gifbrles_c0007s0012t01,0
gifbrles_c0007s0013t01,0
gifbrles_c0007s0014t01,0
gifbrles_c0007s0015t01,0
gifbrles_c0007s0016t01,0
gifbrles_c0007s0017t01,0
gifbrles_c0007s0019t01,0
gifbrles_c0007s0020t01,0
gifbrles_c0007s0024t01,0
gifbrles_c0007s0026t01,0
gifbrles_c0007s0028t01,0
gifbrles_c0007s0029t01,0
gifbrles_c0007s0030t01,0
gifbrles_c0007s0031t01,0
gifbrles_c0007s0032t01,0
gifbrles_c0007s0034t01,0
gifbrles_c0007s0035t01,0
gifbrles_c0008s0002t01,0
gifbrles_c0008s0009t01,1
gifbrles_c0008s0010t01,0
gifbrles_c0008s0011t01,0
gifbrles_c0008s0014t01,1
gifbrles_c0008s0019t01,0
gifbrles_c0008s0024t01,1
gifbrles_c0008s0027t01,0
gifbrles_c0009s0002t01,1
gifbrles_c0009s0004t01,1
gifbrles_c0009s0005t01,1
gifbrles_c0009s0006t01,1
gifbrles_c0009s0007t01,0
gifbrles_c0009s0008t01,1
gifbrles_c0009s0009t01,1
gifbrles_c0009s0010t01,1
gifbrles_c0010s0003t01,1
gifbrles_c0010s0005t01,0
gifbrles_c0010s0006t01,1
gifbrles_c0010s0007t01,0
gifbrles_c0010s0009t01,0
gifbrles_c0010s0011t01,0
gifbrles_c0010s0013t01,1
gifbrles_c0010s0014t01,0
gifbrles_c0010s0015t01,0
gifbrles_c0010s0016t01,0
gifbrles_c0010s0021t01,0
gifbrles_c0010s0022t01,0
gifbrles_c0010s0028t01,0
gifbrles_c0010s0029t01,0
gifbrles_c0010s0032t01,0
gifbrles_c0010s0037t01,0
gifbrles_c0011s0001t01,0
gifbrles_c0011s0003t01,1
gifbrles_c0011s0004t01,1
gifbrles_c0011s0005t01,1
gifbrles_c0011s0006t01,0
gifbrles_c0011s0008t01,1
